Latitude [degrees_north],Longitude [degrees_east],u-velocity [m/s],v-velocity [m/s]
-20,40,0.0151048,-0.47644,
-20,42.5,-0.0352205,-0.397085,
-20,45,-0.118825,-0.253453,
-20,47.5,-0.160553,-0.156341,
-20,50,-0.252505,-0.151088,
-20,52.5,-0.271949,-0.082695,
-20,55,-0.215935,-0.0177604,
-20,57.5,-0.144059,-0.0040418,
-20,60,-0.0834913,-0.0255216,
-20,62.5,-0.0283888,-0.0569248,
-20,65,-0.00700938,-0.10983,
-20,67.5,-0.0310712,-0.150724,
-20,70,-0.0891416,-0.135486,
-20,72.5,-0.102689,-0.128561,
-20,75,-0.0611814,-0.166725,
-20,77.5,-0.00925786,-0.215661,
-20,80,0.0290864,-0.222455,
-20,82.5,0.0621762,-0.177702,
-20,85,0.100804,-0.130612,
-20,87.5,0.127889,-0.142125,
-20,90,0.127118,-0.202739,
-20,92.5,0.122013,-0.219206,
-20,95,0.134789,-0.165595,
-20,97.5,0.148746,-0.0854211,
-20,100,0.169529,-0.0173623,
-20,102.5,0.206582,0.021424,
-20,105,0.244119,0.0407247,
-20,107.5,0.250305,0.0766344,
-20,110,0.222248,0.172726,
-20,112.5,0.213408,0.313571,
-20,115,0.284646,0.343411,
-20,117.5,0.382471,0.231564,
-20,120,0.452316,0.0956204,
-20,122.5,0.466294,0.0215243,
-20,125,0.475627,0.0117795,
-20,127.5,0.532537,0.00453563,
-20,130,0.622442,-0.0541174,
-20,132.5,0.673472,-0.141588,
-20,135,0.636514,-0.190178,
-20,137.5,0.481835,-0.200265,
-20,140,0.29101,-0.229626,
-20,142.5,0.126122,-0.264997,
-20,145,0.00893816,-0.271701,
-20,147.5,-0.0573495,-0.259827,
-20,150,-0.115271,-0.281588,
-20,152.5,-0.205389,-0.363906,
-20,155,-0.286543,-0.449087,
-20,157.5,-0.333303,-0.48528,
-20,160,-0.34702,-0.37254,
-20,162.5,-0.359914,-0.139609,
-20,165,-0.399907,0.0807591,
-20,167.5,-0.483575,0.202051,
-20,170,-0.597143,0.23357,
-20,172.5,-0.703873,0.228961,
-20,175,-0.769532,0.228342,
-20,177.5,-0.786722,0.23783,
-20,180,-0.768031,0.23931,
-20,182.5,-0.70514,0.166215,
-20,185,-0.630946,0.023339,
-20,187.5,-0.58608,-0.10467,
-20,190,-0.589023,-0.15846,
-20,192.5,-0.631159,-0.161227,
-20,195,-0.698716,-0.169073,
-20,197.5,-0.787226,-0.203803,
-20,200,-0.894833,-0.231034,
-20,202.5,-1.00146,-0.219887,
-20,205,-1.06253,-0.191623,
-20,207.5,-1.07392,-0.142996,
-20,210,-1.02795,-0.0452964,
-20,212.5,-0.945245,0.0847505,
-20,215,-0.880813,0.201885,
-20,217.5,-0.874938,0.270183,
-20,220,-0.910748,0.287752,
-20,222.5,-0.922856,0.287659,
-20,225,-0.884346,0.328024,
-20,227.5,-0.855624,0.429658,
-20,230,-0.845906,0.499029,
-20,232.5,-0.798711,0.49772,
-20,235,-0.687337,0.460121,
-20,237.5,-0.550929,0.416031,
-20,240,-0.442588,0.368784,
-20,242.5,-0.387949,0.306746,
-20,245,-0.383526,0.242792,
-20,247.5,-0.39501,0.2931,
-20,250,-0.374838,0.440635,
-20,252.5,-0.368466,0.531382,
-20,255,-0.359953,0.587456,
-20,257.5,-0.308167,0.63418,
-20,260,-0.208833,0.65732,
-20,262.5,-0.102582,0.620103,
-20,265,-0.0376878,0.508939,
-20,267.5,-0.0213391,0.360066,
-20,270,-0.0184429,0.202655,
-20,272.5,-0.0448261,0.12626,
-20,275,-0.0573177,0.0756547,
-20,277.5,-0.0463392,0.121368,
-20,280,-0.0399237,0.125715,
-20,282.5,-0.057355,0.127068,
-20,285,-0.0840696,0.162645,
-20,287.5,-0.040208,0.181733,
-20,290,0.154323,0.156173,
-20,292.5,0.184924,-0.05022,
-20,295,0.00705775,-0.0483871,
-20,297.5,-0.00337266,0.0887759,
-20,300,0.135843,0.180296,
-20,302.5,0.249561,0.262487,
-20,305,0.307822,0.294346,
-20,307.5,0.320502,0.308355,
-20,310,0.298223,0.396502,
-20,312.5,0.342262,0.499819,
-20,315,0.514786,0.548222,
-20,317.5,0.828694,0.652057,
-20,320,1.05888,0.611211,
-20,322.5,1.23535,0.538456,
-20,325,1.36709,0.423597,
-20,327.5,1.4401,0.257686,
-20,330,1.46296,0.0630092,
-20,332.5,1.45914,-0.126516,
-20,335,1.4163,-0.291776,
-20,337.5,1.3138,-0.420855,
-20,340,1.17256,-0.530442,
