Latitude [degrees_north],Longitude [degrees_east],u-velocity [m/s],v-velocity [m/s]
-20,40,-0.109568,0.667177,
-20,42.5,-0.0706148,0.67193,
-20,45,0.0115973,0.467367,
-20,47.5,0.183368,0.556673,
-20,50,0.253968,0.761521,
-20,52.5,0.291697,0.891358,
-20,55,0.399211,0.966598,
-20,57.5,0.54083,0.982958,
-20,60,0.66919,0.954273,
-20,62.5,0.799445,0.890043,
-20,65,0.945115,0.70298,
-20,67.5,1.09553,0.380907,
-20,70,1.23024,0.0159698,
-20,72.5,1.34798,-0.248286,
-20,75,1.45325,-0.416446,
-20,77.5,1.55321,-0.55974,
-20,80,1.65393,-0.684393,
-20,82.5,1.75653,-0.755566,
-20,85,1.85915,-0.776029,
-20,87.5,1.95875,-0.820965,
-20,90,2.03446,-0.93263,
-20,92.5,2.02877,-1.05059,
-20,95,1.97948,-1.12364,
-20,97.5,1.90782,-1.12681,
-20,100,1.81441,-1.08293,
-20,102.5,1.71956,-1.03788,
-20,105,1.643,-0.993485,
-20,107.5,1.58454,-0.875634,
-20,110,1.53649,-0.587625,
-20,112.5,1.52801,-0.171544,
-20,115,1.57759,0.0977769,
-20,117.5,1.57681,0.112475,
-20,120,1.47039,-0.0406746,
-20,122.5,1.3151,-0.198525,
-20,125,1.23188,-0.268337,
-20,127.5,1.28593,-0.299747,
-20,130,1.40352,-0.428556,
-20,132.5,1.41096,-0.722471,
-20,135,1.25825,-1.04247,
-20,137.5,1.06357,-1.10581,
-20,140,0.855986,-0.95788,
-20,142.5,0.658198,-0.847837,
-20,145,0.427315,-0.845197,
-20,147.5,0.16669,-0.825296,
-20,150,-0.0888602,-0.658535,
-20,152.5,-0.295682,-0.362539,
-20,155,-0.406414,-0.0849024,
-20,157.5,-0.425605,0.107247,
-20,160,-0.345275,0.354014,
-20,162.5,-0.211255,0.63466,
-20,165,-0.0529327,0.826441,
-20,167.5,0.0981835,0.917417,
-20,170,0.23919,0.936338,
-20,172.5,0.400897,0.887685,
-20,175,0.623741,0.75978,
-20,177.5,0.918306,0.577813,
-20,180,1.24163,0.377531,
-20,182.5,1.50707,0.100762,
-20,185,1.66935,-0.230014,
-20,187.5,1.73079,-0.506229,
-20,190,1.71096,-0.681498,
-20,192.5,1.62575,-0.782561,
