Latitude [degrees_north],Longitude [degrees_east],u-velocity [m/s],v-velocity [m/s]
-20,40,-0.0210273,-0.705922,
-20,42.5,0.0561715,-0.478256,
-20,45,0.203513,-0.650275,
-20,47.5,0.202707,-0.710829,
-20,50,-0.0858068,-0.583979,
-20,52.5,-0.34571,-0.419801,
-20,55,-0.389374,-0.278611,
-20,57.5,-0.276437,-0.203324,
-20,60,-0.157425,-0.215128,
-20,62.5,-0.128059,-0.302004,
-20,65,-0.190588,-0.414942,
-20,67.5,-0.229228,-0.432139,
-20,70,-0.254521,-0.43223,
-20,72.5,-0.298238,-0.508943,
-20,75,-0.358981,-0.583938,
-20,77.5,-0.458096,-0.542576,
-20,80,-0.582438,-0.308891,
-20,82.5,-0.662323,0.053485,
-20,85,-0.631704,0.352272,
-20,87.5,-0.516335,0.41897,
-20,90,-0.39434,0.324061,
-20,92.5,-0.248723,0.243176,
-20,95,-0.070574,0.237862,
-20,97.5,0.0614216,0.21577,
-20,100,0.0906693,0.14972,
-20,102.5,0.0305955,0.077266,
-20,105,-0.0399475,0.0472641,
-20,107.5,-0.0462277,0.0670166,
-20,110,-0.00379932,0.0852265,
-20,112.5,-0.012231,0.02767,
-20,115,-0.0708437,-0.191955,
-20,117.5,-0.141224,-0.466186,
-20,120,-0.30245,-0.557049,
-20,122.5,-0.517291,-0.422791,
-20,125,-0.731268,-0.313799,
-20,127.5,-0.958075,-0.436477,
-20,130,-1.23082,-0.68668,
-20,132.5,-1.47764,-0.749964,
-20,135,-1.55933,-0.66154,
-20,137.5,-1.55168,-0.590214,
-20,140,-1.61539,-0.466263,
-20,142.5,-1.93357,-0.267209,
-20,145,-1.17223,0.0997673,
-20,147.5,-1.31994,0.521623,
-20,150,-1.3748,0.957097,
-20,152.5,-1.36663,1.4691,
-20,155,-1.32564,1.9527,
-20,157.5,-1.26684,1.11981,
-20,160,-1.10266,1.14415,
-20,162.5,-1.7022,1.0686,
-20,165,-1.17039,1.79275,
-20,167.5,-0.730658,1.29717,
-20,170,-0.41795,0.718701,
-20,172.5,-0.199154,0.126738,
-20,175,-0.0270447,-0.406941,
-20,177.5,0.111905,-0.80132,
-20,180,0.198451,-1.03587,
-20,182.5,0.21078,-1.31748,
-20,185,0.121596,-1.74259,
-20,187.5,-0.0890734,-1.03694,
-20,190,-0.376444,-1.03849,
-20,192.5,-0.655761,-1.76336,
-20,195,-0.877823,-1.32979,
-20,197.5,-1.05162,-0.966519,
-20,200,-1.19317,-0.707348,
-20,202.5,-1.26227,-0.493947,
-20,205,-1.20292,-0.329239,
-20,207.5,-1.08355,-0.137079,
-20,210,-0.939938,0.16038,
-20,212.5,-0.724713,0.5546,
-20,215,-0.403387,0.978774,
-20,217.5,-0.0104178,1.32369,
-20,220,0.380585,1.45512,
-20,222.5,0.733986,1.26515,
-20,225,1.05378,0.808269,
-20,227.5,1.22604,0.386887,
-20,230,1.20128,0.108626,
-20,232.5,1.11219,-0.210225,
-20,235,1.06169,-0.573874,
-20,237.5,0.993219,-0.868581,
-20,240,0.819428,-1.02356,
-20,242.5,0.530867,-1.08767,
-20,245,0.183247,-1.16251,
-20,247.5,-0.161141,-1.25718,
-20,250,-0.592717,-1.35093,
-20,252.5,-1.10605,-1.43761,
-20,255,-1.71731,-1.40529,
-20,257.5,-1.18547,-1.18291,
-20,260,-1.44606,-0.857265,
-20,262.5,-1.59205,-0.595442,
-20,265,-1.66117,-0.450402,
-20,267.5,-1.72721,-0.244512,
-20,270,-1.8374,0.157194,
-20,272.5,-1.69686,0.623025,
-20,275,-1.44744,0.919736,
-20,277.5,-1.33255,1.06015,
-20,280,-1.29264,1.04511,
-20,282.5,-1.22426,1.01169,
-20,285,-1.9689,0.996634,
-20,287.5,-0.95749,0.780331,
-20,290,0.187268,0.194356,
-20,292.5,0.0579528,0.19407,
-20,295,0.183159,0.435269,
-20,297.5,0.224908,1.17529,
-20,300,0.480749,0.943571,
-20,302.5,0.757531,0.506121,
-20,305,0.913114,0.21352,
-20,307.5,0.832209,0.0707207,
-20,310,0.452797,0.0455008,
-20,312.5,-0.0337313,-0.0509442,
-20,315,-0.178896,0.0387675,
-20,317.5,-0.168847,0.173967,
-20,320,-0.190381,0.187462,
-20,322.5,-0.220176,0.187775,
-20,325,-0.27688,0.140012,
-20,327.5,-0.399136,0.0259739,
-20,330,-0.530878,-0.13217,
-20,332.5,-0.571091,-0.281843,
-20,335,-0.552854,-0.35632,
-20,337.5,-0.624045,-0.345505,
-20,340,-0.768921,-0.382171,
-20,342.5,-0.848035,-0.443282,
-20,345,-0.857242,-0.424219,
-20,347.5,-0.846561,-0.317092,
-20,350,-0.819587,-0.225429,
-20,352.5,-0.779926,-0.211799,
-20,355,-0.759938,-0.208224,
-20,357.5,-0.812994,-0.0785344,
-17.5,40,-0.210579,-0.924367,
-17.5,42.5,-0.276293,-0.695803,
-17.5,45,-0.270491,-0.675965,
-17.5,47.5,-0.315496,-0.483583,
-17.5,50,-0.533523,-0.396349,
-17.5,52.5,-0.636118,-0.356214,
-17.5,55,-0.588809,-0.314672,
-17.5,57.5,-0.491565,-0.268244,
-17.5,60,-0.428433,-0.230006,
-17.5,62.5,-0.417819,-0.219706,
-17.5,65,-0.454774,-0.266068,
-17.5,67.5,-0.496599,-0.326091,
-17.5,70,-0.514071,-0.413188,
-17.5,72.5,-0.521356,-0.511966,
-17.5,75,-0.552593,-0.531415,
-17.5,77.5,-0.641386,-0.421974,
-17.5,80,-0.762932,-0.193009,
-17.5,82.5,-0.824256,0.0763602,
-17.5,85,-0.740586,0.264202,
-17.5,87.5,-0.539688,0.281054,
-17.5,90,-0.339597,0.183666,
-17.5,92.5,-0.203011,0.116813,
-17.5,95,-0.0928628,0.10923,
-17.5,97.5,-0.0197449,0.0941648,
-17.5,100,-0.0115893,0.0596757,
-17.5,102.5,-0.0555081,0.0159328,
-17.5,105,-0.10671,-0.035898,
-17.5,107.5,-0.132627,-0.0826654,
-17.5,110,-0.148624,-0.069366,
-17.5,112.5,-0.189923,0.00260913,
-17.5,115,-0.250405,-0.0716323,
-17.5,117.5,-0.390211,-0.272952,
-17.5,120,-0.657371,-0.322691,
-17.5,122.5,-0.89004,-0.159966,
-17.5,125,-1.01256,-0.0359801,
-17.5,127.5,-1.10988,-0.142565,
-17.5,130,-1.2914,-0.379027,
-17.5,132.5,-1.50846,-0.493323,
-17.5,135,-1.64188,-0.465474,
-17.5,137.5,-1.6989,-0.417039,
-17.5,140,-1.81731,-0.269082,
-17.5,142.5,-1.06776,0.0565875,
-17.5,145,-1.24204,0.491166,
-17.5,147.5,-1.33235,0.888642,
-17.5,150,-1.32523,1.2339,
-17.5,152.5,-1.2807,1.58508,
-17.5,155,-1.23679,1.84514,
-17.5,157.5,-1.1623,1.95674,
-17.5,160,-1.89425,1.92833,
-17.5,162.5,-1.30909,1.76208,
-17.5,165,-0.724646,1.38436,
-17.5,167.5,-0.21847,0.80951,
-17.5,170,0.191044,0.169624,
-17.5,172.5,0.491979,-0.399795,
-17.5,175,0.657328,-0.840092,
-17.5,177.5,0.670992,-1.15517,
-17.5,180,0.569188,-1.36,
-17.5,182.5,0.41555,-1.56545,
-17.5,185,0.191967,-1.82968,
-17.5,187.5,-0.143944,-1.98642,
-17.5,190,-0.537486,-1.8687,
-17.5,192.5,-0.881078,-1.51047,
-17.5,195,-1.11458,-1.10295,
-17.5,197.5,-1.25706,-0.818568,
-17.5,200,-1.34355,-0.657936,
-17.5,202.5,-1.33843,-0.516367,
-17.5,205,-1.20137,-0.331655,
-17.5,207.5,-1.04481,-0.0899957,
-17.5,210,-0.921469,0.222323,
-17.5,212.5,-0.771388,0.588167,
-17.5,215,-0.518626,0.953995,
-17.5,217.5,-0.15182,1.22452,
-17.5,220,0.269865,1.27114,
-17.5,222.5,0.673752,0.992688,
-17.5,225,1.01168,0.492332,
-17.5,227.5,1.14109,0.130492,
-17.5,230,1.05733,0.0144433,
-17.5,232.5,0.905923,-0.159378,
-17.5,235,0.832337,-0.437164,
-17.5,237.5,0.759715,-0.688236,
-17.5,240,0.580591,-0.838478,
-17.5,242.5,0.318315,-0.945026,
-17.5,245,0.0741704,-1.06189,
-17.5,247.5,-0.163583,-1.10747,
-17.5,250,-0.567849,-0.990633,
-17.5,252.5,-1.06071,-0.889598,
-17.5,255,-1.53181,-0.820312,
-17.5,257.5,-1.98336,-0.703291,
-17.5,260,-1.19146,-0.538518,
-17.5,262.5,-1.32936,-0.413816,
-17.5,265,-1.38645,-0.373648,
-17.5,267.5,-1.39864,-0.283754,
-17.5,270,-1.45228,0.0645061,
-17.5,272.5,-1.36527,0.506348,
-17.5,275,-1.16816,0.740156,
-17.5,277.5,-1.04051,0.883524,
-17.5,280,-1.98592,0.948841,
-17.5,282.5,-1.77114,0.906859,
-17.5,285,-1.23371,0.660307,
-17.5,287.5,-0.527811,0.291005,
-17.5,290,-0.0827434,0.231672,
-17.5,292.5,-0.0695923,0.301439,
-17.5,295,0.0823396,0.497808,
-17.5,297.5,-0.0304094,0.700002,
-17.5,300,0.047765,0.401711,
-17.5,302.5,0.228468,0.224345,
-17.5,305,0.410278,0.227661,
-17.5,307.5,0.468569,0.260498,
-17.5,310,0.280919,0.284517,
-17.5,312.5,-0.0735941,0.199947,
-17.5,315,-0.241323,0.29847,
-17.5,317.5,-0.166557,0.444243,
-17.5,320,-0.0940413,0.401875,
-17.5,322.5,-0.0259364,0.327978,
-17.5,325,0.0173717,0.231268,
-17.5,327.5,-0.00522041,0.0937342,
-17.5,330,-0.0556326,-0.0694828,
-17.5,332.5,-0.055541,-0.19705,
-17.5,335,-0.0378933,-0.224783,
-17.5,337.5,-0.117312,-0.218908,
-17.5,340,-0.258216,-0.310892,
-17.5,342.5,-0.358474,-0.413862,
-17.5,345,-0.427935,-0.425799,
-17.5,347.5,-0.465521,-0.365719,
-17.5,350,-0.464993,-0.3068,
-17.5,352.5,-0.474026,-0.243961,
-17.5,355,-0.557464,-0.082073,
-17.5,357.5,-0.716226,0.239041,
-15,40,-0.23563,-1.0892,
-15,42.5,-0.42644,-0.850319,
-15,45,-0.704921,-0.627948,
-15,47.5,-0.846618,-0.362226,
-15,50,-0.833313,-0.323797,
-15,52.5,-0.67549,-0.333134,
-15,55,-0.543482,-0.295994,
-15,57.5,-0.504039,-0.198316,
-15,60,-0.505118,-0.0911584,
-15,62.5,-0.481262,-0.0414233,
-15,65,-0.450395,-0.0729965,
-15,67.5,-0.471308,-0.171741,
-15,70,-0.534281,-0.31713,
-15,72.5,-0.597157,-0.406814,
-15,75,-0.654837,-0.384903,
-15,77.5,-0.704242,-0.281306,
-15,80,-0.724167,-0.151205,
-15,82.5,-0.679014,-0.0306867,
-15,85,-0.548118,0.0670896,
-15,87.5,-0.365222,0.128989,
-15,90,-0.235432,0.144247,
-15,92.5,-0.258379,0.13675,
-15,95,-0.356299,0.126383,
-15,97.5,-0.452594,0.109527,
-15,100,-0.509334,0.0978692,
-15,102.5,-0.50266,0.077052,
-15,105,-0.444048,0.0242438,
-15,107.5,-0.380517,-0.0397751,
-15,110,-0.358426,-0.0320417,
-15,112.5,-0.387027,0.0659943,
-15,115,-0.485582,0.0587111,
-15,117.5,-0.673286,-0.0372762,
-15,120,-0.966443,-0.0307816,
-15,122.5,-1.14439,0.108889,
-15,125,-1.1139,0.180241,
-15,127.5,-1.03164,0.055501,
-15,130,-1.11867,-0.168613,
-15,132.5,-1.36371,-0.317543,
-15,135,-1.57467,-0.334734,
-15,137.5,-1.6939,-0.294972,
-15,140,-1.91723,-0.121133,
-15,142.5,-1.11706,0.226115,
-15,145,-1.22431,0.621807,
-15,147.5,-1.22224,0.977368,
-15,150,-1.14003,1.2786,
-15,152.5,-1.05571,1.53244,
-15,155,-1.00518,1.7047,
-15,157.5,-1.81111,1.74208,
-15,160,-1.31697,1.6329,
-15,162.5,-0.698094,1.40563,
-15,165,-0.101747,0.952638,
-15,167.5,0.390706,0.299936,
-15,170,0.747966,-0.354048,
-15,172.5,0.950231,-0.828677,
-15,175,0.979566,-1.1027,
-15,177.5,0.845142,-1.28575,
-15,180,0.603524,-1.45428,
-15,182.5,0.340842,-1.5996,
-15,185,0.0347259,-1.70732,
-15,187.5,-0.345213,-1.70596,
-15,190,-0.726319,-1.52159,
-15,192.5,-1.01302,-1.19294,
-15,195,-1.17469,-0.863816,
-15,197.5,-1.25261,-0.664875,
-15,200,-1.28447,-0.579768,
-15,202.5,-1.23245,-0.474382,
-15,205,-1.05809,-0.241454,
-15,207.5,-0.884114,0.0647758,
-15,210,-0.77808,0.397488,
-15,212.5,-0.662401,0.710532,
-15,215,-0.44255,0.973078,
-15,217.5,-0.10194,1.1258,
-15,220,0.280886,1.06399,
-15,222.5,0.593782,0.71054,
-15,225,0.788934,0.218992,
-15,227.5,0.820511,-0.0486053,
-15,230,0.711084,-0.0142277,
-15,232.5,0.540239,-0.0665599,
-15,235,0.450515,-0.307163,
-15,237.5,0.397792,-0.565176,
-15,240,0.26304,-0.707474,
-15,242.5,0.0272174,-0.777725,
-15,245,-0.202215,-0.851539,
-15,247.5,-0.438095,-0.848564,
-15,250,-0.820162,-0.641749,
-15,252.5,-1.22928,-0.448375,
-15,255,-1.49664,-0.367799,
-15,257.5,-1.65176,-0.336782,
-15,260,-1.8335,-0.30624,
-15,262.5,-1.03092,-0.297227,
-15,265,-1.09625,-0.320353,
-15,267.5,-1.06881,-0.260602,
-15,270,-1.09919,0.0526815,
-15,272.5,-1.0514,0.431354,
-15,275,-1.88697,0.600834,
-15,277.5,-1.53882,0.771073,
-15,280,-1.20477,0.828502,
-15,282.5,-0.837636,0.676319,
-15,285,-0.414527,0.424434,
-15,287.5,-0.104814,0.254275,
-15,290,-0.0959325,0.173215,
-15,292.5,-0.112089,0.262856,
-15,295,-0.105607,0.565816,
-15,297.5,-0.448825,0.341665,
-15,300,-0.487498,0.196955,
-15,302.5,-0.332358,0.276577,
-15,305,-0.170109,0.362619,
-15,307.5,-0.0592368,0.373385,
-15,310,-0.00286651,0.402298,
-15,312.5,-0.0525208,0.393232,
-15,315,-0.158258,0.505633,
-15,317.5,-0.0462267,0.625321,
-15,320,0.0990188,0.532438,
-15,322.5,0.210763,0.406897,
-15,325,0.239923,0.293857,
-15,327.5,0.226042,0.169467,
-15,330,0.240692,0.0232442,
-15,332.5,0.308022,-0.101553,
-15,335,0.371347,-0.150767,
-15,337.5,0.338817,-0.209088,
-15,340,0.274513,-0.335471,
-15,342.5,0.205877,-0.41019,
-15,345,0.0805957,-0.393265,
-15,347.5,-0.0557957,-0.36112,
-15,350,-0.177891,-0.329175,
-15,352.5,-0.316755,-0.207159,
-15,355,-0.500661,0.105841,
-15,357.5,-0.67673,0.56683,
-12.5,40,-0.391626,-1.09514,
-12.5,42.5,-0.634193,-0.781531,
-12.5,45,-1.06482,-0.514561,
-12.5,47.5,-1.19652,-0.400216,
-12.5,50,-0.951966,-0.403586,
-12.5,52.5,-0.613041,-0.391459,
-12.5,55,-0.390276,-0.274518,
-12.5,57.5,-0.27478,-0.105773,
-12.5,60,-0.178084,0.00474453,
-12.5,62.5,-0.0658422,0.0174344,
-12.5,65,0.0280557,-0.00238156,
-12.5,67.5,0.03965,-0.0714406,
-12.5,70,-0.0314088,-0.175748,
-12.5,72.5,-0.128162,-0.229855,
-12.5,75,-0.207359,-0.222462,
-12.5,77.5,-0.257254,-0.194449,
-12.5,80,-0.29501,-0.162558,
-12.5,82.5,-0.335526,-0.101005,
-12.5,85,-0.369945,0.0171348,
-12.5,87.5,-0.380824,0.162108,
-12.5,90,-0.409675,0.261767,
-12.5,92.5,-0.520814,0.31073,
-12.5,95,-0.653044,0.357018,
-12.5,97.5,-0.736078,0.382036,
-12.5,100,-0.746855,0.361754,
-12.5,102.5,-0.69763,0.290705,
-12.5,105,-0.613257,0.202586,
