Latitude [degrees_north],Longitude [degrees_east],u-velocity [m/s],v-velocity [m/s]
-20,40,-0.436758,1.07665,
-20,42.5,-0.582463,1.00165,
-20,45,-0.533631,0.968163,
-20,47.5,-0.252859,0.968687,
-20,50,0.0668071,1.13592,
-20,52.5,0.263861,1.12347,
-20,55,0.290063,0.978492,
-20,57.5,0.277616,0.849956,
-20,60,0.365304,0.73548,
-20,62.5,0.560434,0.487932,
-20,65,0.765716,0.0492333,
-20,67.5,0.952493,-0.374475,
-20,70,1.136,-0.563007,
-20,72.5,1.29177,-0.682124,
-20,75,1.42408,-0.848693,
-20,77.5,1.57712,-1.04621,
-20,80,1.74115,-1.15611,
-20,82.5,1.85348,-1.10064,
-20,85,1.86425,-0.924121,
-20,87.5,1.79478,-0.745908,
-20,90,1.67373,-0.625307,
-20,92.5,1.51498,-0.624954,
-20,95,1.38986,-0.702549,
-20,97.5,1.32287,-0.724205,
-20,100,1.31744,-0.661322,
-20,102.5,1.35034,-0.59464,
-20,105,1.3658,-0.621492,
-20,107.5,1.312,-0.741349,
-20,110,1.19538,-0.80815,
-20,112.5,1.06066,-0.651242,
-20,115,0.908784,-0.231335,
-20,117.5,0.662477,0.158839,
-20,120,0.404641,0.299718,
-20,122.5,0.224684,0.191395,
-20,125,0.192187,0.0296218,
-20,127.5,0.319156,-0.0429784,
-20,130,0.541604,-0.0838452,
-20,132.5,0.737329,-0.275652,
-20,135,0.782825,-0.716574,
-20,137.5,0.599984,-1.05457,
-20,140,0.195166,-1.07659,
-20,142.5,-0.16673,-0.908271,
-20,145,-0.346517,-0.670932,
-20,147.5,-0.390703,-0.470926,
-20,150,-0.418797,-0.331766,
-20,152.5,-0.500963,-0.18457,
-20,155,-0.602718,0.0273033,
-20,157.5,-0.586975,0.133235,
-20,160,-0.44023,0.0574715,
-20,162.5,-0.311034,-0.0393184,
-20,165,-0.215827,-0.0840495,
-20,167.5,-0.146397,-0.125549,
-20,170,-0.0777598,-0.258682,
-20,172.5,0.0272361,-0.493589,
-20,175,0.188625,-0.70232,
-20,177.5,0.367959,-0.712119,
-20,180,0.468058,-0.551662,
-20,182.5,0.424016,-0.519252,
-20,185,0.359146,-0.661488,
-20,187.5,0.33751,-0.839418,
-20,190,0.347496,-0.936435,
-20,192.5,0.357377,-0.909816,
-20,195,0.351644,-0.787334,
-20,197.5,0.33219,-0.649295,
-20,200,0.29622,-0.590148,
-20,202.5,0.230547,-0.607494,
-20,205,0.153391,-0.560356,
-20,207.5,0.106895,-0.432041,
-20,210,0.105446,-0.312823,
-20,212.5,0.119975,-0.225063,
-20,215,0.13017,-0.13751,
-20,217.5,0.156923,-0.0647269,
-20,220,0.240576,-0.0793842,
-20,222.5,0.379268,-0.199404,
-20,225,0.490395,-0.2461,
-20,227.5,0.474322,-0.0176125,
-20,230,0.385589,0.298807,
-20,232.5,0.315474,0.528445,
-20,235,0.308831,0.665048,
-20,237.5,0.374582,0.726352,
-20,240,0.499019,0.688308,
-20,242.5,0.653714,0.552755,
-20,245,0.806894,0.440763,
-20,247.5,0.964078,0.441362,
-20,250,1.0587,0.42934,
-20,252.5,1.03102,0.382994,
-20,255,0.95836,0.417479,
-20,257.5,0.943928,0.471972,
-20,260,0.978592,0.424203,
-20,262.5,0.9911,0.236888,
-20,265,0.951193,-0.0340782,
-20,267.5,0.904018,-0.338947,
-20,270,0.828233,-0.609313,
-20,272.5,0.728423,-0.645071,
